GEOGRAPHY,XLON,XLAT,BOUNDS,ACTIVITY_INDEX_TOTAL,WKT
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.02946,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.03332,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.90343,34.39615,"-88.90411,34.39558,-88.90274,34.39671",0.02778,"POLYGON ((-88.90274 34.39671, -88.90411 34.39671, -88.90411 34.39558, -88.90274 34.39558, -88.90274 34.39671))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.023522,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.028293,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.90343,34.39615,"-88.90411,34.39558,-88.90274,34.39671",0.047283,"POLYGON ((-88.90274 34.39671, -88.90411 34.39671, -88.90411 34.39558, -88.90274 34.39558, -88.90274 34.39671))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.048954,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.043102,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.031879,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.90343,34.39615,"-88.90411,34.39558,-88.90274,34.39671",0.032801,"POLYGON ((-88.90274 34.39671, -88.90411 34.39671, -88.90411 34.39558, -88.90274 34.39558, -88.90274 34.39671))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.032755,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.04786,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.027727,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
032002023320231112,-88.90343,34.39615,"-88.90411,34.39558,-88.90274,34.39671",0.023629,"POLYGON ((-88.90274 34.39671, -88.90411 34.39671, -88.90411 34.39558, -88.90274 34.39558, -88.90274 34.39671))"
032002023320231112,-88.903427124,34.396145202,"-88.90411376953125,34.395578615491694,-88.90274047851562,34.39671178864244",0.037152,"POLYGON ((-88.90274047851562 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.395578615491694, -88.90274047851562 34.395578615491694, -88.90274047851562 34.39671178864244))"
