GEO,X,Y,FID,CALCLOCATI,CALCLOCA_1,CALCLOCA_2,NAME,ADDRESS,CITY,STATE,ZIP,FORMATED_P,STATUS,ICON,TYPE_,OBJECTID
"{
  ""coordinates"": [
    -8.787470000000000e+01,
    3.155750000000000e+01
  ],
  ""type"": ""Point""
}",-87.8747,31.5575,2373,"31.55746400,-87.87465400",-87.874654,31.557464,FMC JACKSON (TOMBIGBEE),215 WALKER SPRINGS RD,JACKSON,AL,36545,Please call patient admission line,open,small_green,Dialysis Center,2647
"{
  ""coordinates"": [
    -8.781640000000000e+01,
    3.372160000000000e+01
  ],
  ""type"": ""Point""
}",-87.8164,33.7216,2377,"33.72158300,-87.81635300",-87.816353,33.721583,DaVita Fayette Dialysis,2450 TEMPLE AVE N,FAYETTE,AL,35555,Please call patient admission line,open,small_green,Dialysis Center,2651
"{
  ""coordinates"": [
    -8.766500000000001e+01,
    3.474400000000000e+01
  ],
  ""type"": ""Point""
}",-87.665,34.744,2384,"34.74398100,-87.66502700",-87.665027,34.743981,DaVita Muscle Shoals Dialysis,712 STATE STREET,MUSCLE SHOALS,AL,35661,Please call patient admission line,open,small_green,Dialysis Center,2658
"{
  ""coordinates"": [
    -8.754389999999999e+01,
    3.314620000000000e+01
  ],
  ""type"": ""Point""
}",-87.5439,33.1462,2392,"33.14620900,-87.54385200",-87.543852,33.146209,DaVita Crimson Dialysis,6521 Hwy 69 S,TUSCALOOSA,AL,35404,Please call patient admission line,open,small_green,Dialysis Center,2666
"{
  ""coordinates"": [
    -9.082740000000000e+01,
    3.235360000000000e+01
  ],
  ""type"": ""Point""
}",-90.8274,32.3536,2396,"32.35360700,-90.82743200",-90.827432,32.353607,RCG VICKSBURG,105 KEYSTONE CIRCLE,VICKSBURG,MS,39180,Please call patient admission line,open,small_green,Dialysis Center,2670
"{
  ""coordinates"": [
    -8.980390000000000e+01,
    3.376500000000000e+01
  ],
  ""type"": ""Point""
}",-89.8039,33.765,2397,"33.76495000,-89.80390000",-89.8039,33.76495,RCG GRENADA,35 WEST MONROE STREET,GRENADA,MS,38901,Please call patient admission line,open,small_green,Dialysis Center,2671
"{
  ""coordinates"": [
    -9.072410000000001e+01,
    3.374570000000000e+01
  ],
  ""type"": ""Point""
}",-90.7241,33.7457,2398,"33.74565400,-90.72412400",-90.724124,33.745654,RCG CLEVELAND,222 N. PEARMAN AVENUE,CLEVELAND,MS,38732,Please call patient admission line,open,small_green,Dialysis Center,2672
"{
  ""coordinates"": [
    -8.973110000000000e+01,
    3.187530000000000e+01
  ],
  ""type"": ""Point""
}",-89.7311,31.8753,2399,"31.87534300,-89.73111900",-89.731119,31.875343,FMC MAGEE,211 FIRST STREET S.E.,MAGEE,MS,39111,Please call patient admission line,open,small_green,Dialysis Center,2673
"{
  ""coordinates"": [
    -9.098390000000001e+01,
    3.194550000000000e+01
  ],
  ""type"": ""Point""
}",-90.9839,31.9455,2400,"31.94552200,-90.98391900",-90.983919,31.945522,RCG PORT GIBSON,123-A MCCOMB AVE,PORT GIBSON,MS,39150,Please call patient admission line,open,small_green,Dialysis Center,2674
"{
  ""coordinates"": [
    -8.913740000000000e+01,
    3.085280000000000e+01
  ],
  ""type"": ""Point""
}",-89.1374,30.8528,2401,"30.85275600,-89.13738200",-89.137382,30.852756,WIGGINS DIALYSIS,503 FIRST STREET,WIGGINS,MS,39577,Please call patient admission line,open,small_green,Dialysis Center,2901
"{
  ""coordinates"": [
    -8.855780000000000e+01,
    3.312380000000000e+01
  ],
  ""type"": ""Point""
}",-88.5578,33.1238,2402,"33.12376500,-88.55784600",-88.557846,33.123765,RCG MACON (NOXUBEE COUNTY),703 NORTH WASHINGTON STREET,MACON,MS,39341,Please call patient admission line,open,small_green,Dialysis Center,2902
"{
  ""coordinates"": [
    -8.893570000000000e+01,
    3.135300000000000e+01
  ],
  ""type"": ""Point""
}",-88.9357,31.353,2403,"31.35304100,-88.93567500",-88.935675,31.353041,RICHTON DIALYSIS,507 FRONT STREET,RICHTON,MS,39476,Please call patient admission line,open,small_green,Dialysis Center,2903
"{
  ""coordinates"": [
    -8.905970000000001e+01,
    3.312360000000000e+01
  ],
  ""type"": ""Point""
}",-89.0597,33.1236,2404,"33.12360700,-89.05965600",-89.059656,33.123607,RCG LOUISVILLE,562-A EAST MAIN STREET,LOUISVILLE,MS,39339,Please call patient admission line,open,small_green,Dialysis Center,2904
"{
  ""coordinates"": [
    -9.037550000000000e+01,
    3.469710000000000e+01
  ],
  ""type"": ""Point""
}",-90.3755,34.6971,2405,"34.69713800,-90.37545200",-90.375452,34.697138,RCG TUNICA,1821 US HIGHWAY 61 NORTH,TUNICA,MS,38676,Please call patient admission line,open,small_green,Dialysis Center,2905
